name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Granulosicoccaceae	449719	F	436	1	437	0.00002
Microbulbiferaceae	1706373	F	10520	184	10704	0.00046
Cellvibrionaceae	1706371	F	9568	157	9725	0.00042
Halieaceae	1706372	F	3786	445	4231	0.00018
Spongiibacteraceae	1706375	F	1284	49	1333	0.00006
Porticoccaceae	1706374	F	43	0	43	0.00000
Methylococcaceae	403	F	24473	320	24793	0.00107
Methylothermaceae	1486721	F	547	3	550	0.00002
Piscirickettsiaceae	135616	F	12047	660	12707	0.00055
Francisellaceae	34064	F	6031	113	6144	0.00026
Thiotrichaceae	135617	F	3240	25	3265	0.00014
Fastidiosibacteraceae	2056687	F	169	1	170	0.00001
Legionellaceae	444	F	13295	222	13517	0.00058
Coxiellaceae	118968	F	6776	26	6802	0.00029
Orbaceae	1240483	F	9792	870	10662	0.00046
Candidatus Pseudothioglobaceae	3399801	F	5117	2682	7799	0.00034
Celerinatantimonadaceae	412032	F	406	568	974	0.00004
Candidatus Azoamicaceae	3119552	F	68	66	134	0.00001
Candidatus Competibacteraceae	1400857	F	16	0	16	0.00000
Cardiobacteriaceae	868	F	3430	1160	4590	0.00020
Ignatzschineriaceae	3018589	F	2311	359	2670	0.00011
Nevskiaceae	568386	F	3539	197	3736	0.00016
Algiphilaceae	1266054	F	605	62	667	0.00003
Salinisphaeraceae	742031	F	1772	19	1791	0.00008
Acidiferrobacteraceae	1692041	F	1525	4	1529	0.00007
Kangiellaceae	1920240	F	1460	33	1493	0.00006
Candidatus Poriferihabitaceae	3033994	F	1261	4	1265	0.00005
Thiohalomonadaceae	3084969	F	1074	398	1472	0.00006
Woeseiaceae	1738654	F	1004	1	1005	0.00004
Thiohalobacteraceae	3085110	F	716	3	719	0.00003
Immundisolibacteraceae	1934946	F	564	577	1141	0.00005
Steroidobacteraceae	2689614	F	291	36	327	0.00001
Candidatus Rariloculaceae	2978122	F	283	0	283	0.00001
Candidatus Johnevansiaceae	3399796	F	247	8	255	0.00001
Candidatus Comchoanobacteraceae	2975285	F	210	0	210	0.00001
