name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Segatella baroniae	305719	S	16	81	97	0.00000
Paraprevotella clara	454154	S	3259	1411	4670	0.00018
Paraprevotella xylaniphila	454155	S	2904	1203	4107	0.00015
Xylanibacter ruminicola	839	S	4866	90	4956	0.00019
Hoylesella buccalis	28127	S	2236	723	2959	0.00011
Hoylesella enoeca	76123	S	1988	1301	3289	0.00012
Pseudoprevotella muciniphila	2133944	S	1961	31	1992	0.00007
Barnesiella sp. An22	1965590	S	11757	948	12705	0.00048
Barnesiella viscericola	397865	S	10137	1849	11986	0.00045
Barnesiella intestinihominis	487174	S	3018	231	3249	0.00012
Coprobacter secundus	1501392	S	3775	347	4122	0.00016
Coprobacter fastidiosus	1099853	S	3404	233	3637	0.00014
Petrimonas mucosa	1642646	S	5485	957	6442	0.00024
Petrimonas sulfuriphila	285070	S	1703	1965	3668	0.00014
Petrimonas sp.	2023866	S	827	1001	1828	0.00007
Dysgonomonas sp. HDW5B	2714927	S	1255	3100	4355	0.00016
Dysgonomonas sp. HDW5A	2714926	S	763	1940	2703	0.00010
Proteiniphilum saccharofermentans	1642647	S	4323	249	4572	0.00017
Proteiniphilum propionicum	2829812	S	2636	286	2922	0.00011
Limibacterium fermenti	3229863	S	3444	92	3536	0.00013
Indolivaga capnocytophagoides	45254	S	2485	422	2907	0.00011
Porphyromonas pogonae	867595	S	5140	1435	6575	0.00025
Porphyromonas gingivalis	837	S	4449	617	5066	0.00019
Porphyromonas sp. oral taxon 275	712435	S	2450	17	2467	0.00009
Porphyromonas cangingivalis	36874	S	1806	215	2021	0.00008
Porphyromonas endodontalis	28124	S	1488	58	1546	0.00006
Porphyromonas crevioricanis	393921	S	1270	56	1326	0.00005
Porphyromonas somerae	322095	S	1222	90	1312	0.00005
Porphyromonas asaccharolytica	28123	S	1174	56	1230	0.00005
Porphyromonas levii	28114	S	879	26	905	0.00003
Macellibacteroides fermentans	879969	S	9668	135	9803	0.00037
Muribaculum intestinale	1796646	S	4565	211	4776	0.00018
Muribaculum gordoncarteri	2530390	S	4046	392	4438	0.00017
Duncaniella dubosii	2518971	S	2165	344	2509	0.00009
Duncaniella freteri	2530391	S	13	57	70	0.00000
Sodaliphilus pleomorphus	2606626	S	4360	192	4552	0.00017
Paramuribaculum intestinale	2094151	S	3983	84	4067	0.00015
Paludibacter propionicigenes	185300	S	4588	5	4593	0.00017
Salinivirga cyanobacteriivorans	1307839	S	1827	1	1828	0.00007
Tenuifilum thalassicum	2590900	S	1214	2	1216	0.00005
Candidatus Azobacteroides pseudotrichonymphae	511435	S	1175	0	1175	0.00004
uncultured Draconibacterium sp.	1573823	S	6458	529	6987	0.00026
Draconibacterium orientale	1168034	S	3722	848	4570	0.00017
Draconibacterium halophilum	2706887	S	1012	47	1059	0.00004
Gaoshiqia hydrogeniformans	3290090	S	5124	50	5174	0.00019
Mangrovibacterium marinum	1639118	S	4233	238	4471	0.00017
Aquipluma nitroreducens	2010828	S	2649	18	2667	0.00010
Halosquirtibacter laminarini	3374600	S	1112	153	1265	0.00005
Halosquirtibacter xylanolyticus	3374599	S	784	71	855	0.00003
Maribellus comscasis	2681766	S	1942	36	1978	0.00007
Labilibaculum antarcticum	1717717	S	1530	71	1601	0.00006
Labilibaculum euxinicum	2686357	S	956	479	1435	0.00005
Labilibaculum sp.	2060723	S	633	652	1285	0.00005
Marinifilum fragile	570161	S	2253	223	2476	0.00009
Marinifilum sp.	2033137	S	1400	108	1508	0.00006
Xiashengella succiniciproducens	2949635	S	2430	378	2808	0.00011
Alkalitalea saponilacus	889453	S	1518	34	1552	0.00006
Flavobacterium sp.	239	S	2209	612	2821	0.00011
Flavobacterium sp. YJ01	3031997	S	1250	965	2215	0.00008
Flavobacterium sp. KACC 22761	3092665	S	1194	288	1482	0.00006
Flavobacterium sp. SM2513	3424766	S	1056	52	1108	0.00004
Flavobacterium sp. 140616W15	2478552	S	837	99	936	0.00004
Flavobacterium sp. JP2137	3414510	S	798	89	887	0.00003
Flavobacterium sp. 25HG05S-40	3458682	S	754	38	792	0.00003
Flavobacterium sp. ZE23DGlu08	3059026	S	750	108	858	0.00003
Flavobacterium sp. NG2	3097547	S	700	70	770	0.00003
Flavobacterium sp. N1719	2885633	S	671	24	695	0.00003
Flavobacterium sp. KBS0721	1179672	S	659	115	774	0.00003
Flavobacterium sp. M31R6	2739062	S	616	66	682	0.00003
Flavobacterium sp. PL002	1897058	S	610	94	704	0.00003
Flavobacterium sp. TR2	2977321	S	597	284	881	0.00003
Flavobacterium sp. HNIBRBA15423	3458683	S	557	33	590	0.00002
Flavobacterium sp. W1B	3394146	S	556	74	630	0.00002
Flavobacterium sp. CLA17	2724135	S	526	53	579	0.00002
Flavobacterium sp. PS2	3384157	S	472	53	525	0.00002
Flavobacterium sp. I3-2	2748319	S	453	488	941	0.00004
Flavobacterium sp. CECT 9288	2845819	S	437	135	572	0.00002
Flavobacterium sp. WV_118_3	3151764	S	435	38	473	0.00002
Flavobacterium sp. CS20	2775246	S	433	144	577	0.00002
Flavobacterium sp. MDT1-60	1979344	S	426	50	476	0.00002
Flavobacterium sp. xlx-214	2654325	S	418	51	469	0.00002
Flavobacterium sp. TMP13	3425950	S	413	34	447	0.00002
Flavobacterium sp. N3904	2986835	S	405	34	439	0.00002
Flavobacterium sp. N2038	2986829	S	374	68	442	0.00002
Flavobacterium sp. P21	3423948	S	339	63	402	0.00002
Flavobacterium sp. N1736	2986823	S	317	45	362	0.00001
Flavobacterium sp. SLB02	2665645	S	290	40	330	0.00001
Flavobacterium sp. N2270	2986831	S	290	38	328	0.00001
Flavobacterium sp. N1994	2986827	S	289	12	301	0.00001
Flavobacterium sp. CFS9	3143118	S	281	105	386	0.00001
Flavobacterium sp. N2820	2986834	S	275	31	306	0.00001
Flavobacterium sp. 2	308053	S	269	54	323	0.00001
Flavobacterium sp. MMS24-S5	3416605	S	255	115	370	0.00001
Flavobacterium sp. Sr18	935222	S	236	24	260	0.00001
Flavobacterium sp. KS-LB2	3120525	S	235	26	261	0.00001
Flavobacterium sp. KACC 22763	3025668	S	229	207	436	0.00002
Flavobacterium sp. LPB0248	2614441	S	223	202	425	0.00002
Flavobacterium sp. K5-23	2746225	S	222	24	246	0.00001
Flavobacterium sp. GSB-24	2994319	S	217	77	294	0.00001
Flavobacterium sp. N502536	2986837	S	211	57	268	0.00001
Flavobacterium sp. CHNK8	2871165	S	199	58	257	0.00001
Flavobacterium sp. B183	907046	S	187	171	358	0.00001
Flavobacterium sp. KACC 22758	3025667	S	115	236	351	0.00001
Flavobacterium sp. N502540	2986838	S	95	69	164	0.00001
Flavobacterium sp. WC2409	3234139	S	78	669	747	0.00003
Flavobacterium sp. IMCC34518	3003623	S	75	307	382	0.00001
Flavobacterium sp. WC2430	3234137	S	74	116	190	0.00001
Flavobacterium sp. TN-1	3463858	S	46	4918	4964	0.00019
Flavobacterium sp. WC2416	3234141	S	42	1275	1317	0.00005
Flavobacterium sp. WC2429	3234140	S	29	548	577	0.00002
Flavobacterium sp. WC2421	3234138	S	21	195	216	0.00001
Flavobacterium album	2175091	S	2583	86	2669	0.00010
Flavobacterium indicum	312277	S	1744	124	1868	0.00007
Flavobacterium faecale	1355330	S	1452	191	1643	0.00006
Flavobacterium branchiophilum	55197	S	1448	62	1510	0.00006
Flavobacterium anhuiense	459526	S	1442	435	1877	0.00007
Flavobacterium channae	2897181	S	1337	388	1725	0.00006
Flavobacterium psychrotrophum	2294119	S	1278	38	1316	0.00005
Flavobacterium cerinum	2502784	S	991	95	1086	0.00004
Flavobacterium kingsejongi	1678728	S	981	154	1135	0.00004
