k141_557613	171549	order	Bacteroidales	4	3	2	0.520	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_557830	1	no rank	root	4	3	3	1.000	unknown;unknown;unknown	-_root
k141_558003	1	no rank	root	5	5	5	1.000	unknown;unknown;unknown	-_root
k141_720199	2	superkingdom	Bacteria	3	2	1	0.500	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_488152	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_488225	2585118	species	Alistipes communis	2	2	1	0.500	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes communis
k141_488510	2	superkingdom	Bacteria	4	4	3	0.680	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_939615	2585118	species	Alistipes communis	4	2	1	0.500	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes communis
k141_940346	171549	order	Bacteroidales	8	8	7	0.880	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_489493	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_644801	1	no rank	root	5	5	5	1.000	unknown;unknown;unknown	-_root
k141_790069	171549	order	Bacteroidales	5	4	4	1.000	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_179407	2585119	species	Alistipes dispar	2	2	1	0.500	unknown;Bacteroidetes;Rikenellaceae	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes dispar
k141_646524	1783272	clade	Terrabacteria group	4	3	2	0.520	unknown;unknown;unknown	-_cellular organisms;d_Bacteria;-_Terrabacteria group
k141_122688	1	no rank	root	5	5	5	1.000	unknown;unknown;unknown	-_root
k141_1179631	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_889453	1	no rank	root	8	8	8	1.000	unknown;unknown;unknown	-_root
k141_280975	2	superkingdom	Bacteria	7	6	3	0.500	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_281671	171549	order	Bacteroidales	4	4	4	1.000	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_129538	2	superkingdom	Bacteria	3	3	2	0.670	uc_Bacteria;uc_Bacteria;uc_Bacteria	-_cellular organisms;d_Bacteria
k141_283657	976	phylum	Bacteroidetes	3	3	2	0.670	unknown;Bacteroidetes;uc_Bacteroidetes	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes
k141_283922	1	no rank	root	4	4	4	1.000	unknown;unknown;unknown	-_root
k141_284210	171549	order	Bacteroidales	3	3	2	0.500	unknown;Bacteroidetes;uc_Bacteroidales	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidetes/Chlorobi group;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales
k141_286150	1	no rank	root	3	3	3	1.000	unknown;unknown;unknown	-_root
k141_638664	1	no rank	root	8	8	8	1.000	unknown;unknown;unknown	-_root
