name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hoylesella enoeca	76123	S	7472	3665	11137	0.00028
Xylanibacter ruminicola	839	S	15870	214	16084	0.00041
Pseudoprevotella muciniphila	2133944	S	7322	83	7405	0.00019
Odoribacter splanchnicus	28118	S	74342	4502	78844	0.00200
Butyricimonas faecalis	2093856	S	17113	4184	21297	0.00054
Butyricimonas virosa	544645	S	11591	5767	17358	0.00044
Butyricimonas paravirosa	1472417	S	10219	11917	22136	0.00056
Butyricimonas faecihominis	1472416	S	9735	9350	19085	0.00048
Porphyromonas gingivalis	837	S	18461	1547	20008	0.00051
Porphyromonas pogonae	867595	S	8571	1100	9671	0.00024
Porphyromonas sp. oral taxon 275	712435	S	5701	81	5782	0.00015
Porphyromonas cangingivalis	36874	S	5165	496	5661	0.00014
Porphyromonas crevioricanis	393921	S	4274	195	4469	0.00011
Porphyromonas levii	28114	S	4068	107	4175	0.00011
Porphyromonas endodontalis	28124	S	3670	172	3842	0.00010
Porphyromonas asaccharolytica	28123	S	3319	126	3445	0.00009
Porphyromonas somerae	322095	S	2866	179	3045	0.00008
Macellibacteroides fermentans	879969	S	52257	2550	54807	0.00139
Barnesiella sp. An22	1965590	S	31690	2998	34688	0.00088
Barnesiella viscericola	397865	S	23772	4719	28491	0.00072
Barnesiella intestinihominis	487174	S	14300	1165	15465	0.00039
Coprobacter secundus	1501392	S	17177	1892	19069	0.00048
Coprobacter fastidiosus	1099853	S	16920	1070	17990	0.00046
Petrimonas mucosa	1642646	S	12807	5427	18234	0.00046
Petrimonas sulfuriphila	285070	S	4440	4783	9223	0.00023
Petrimonas sp.	2023866	S	4050	4548	8598	0.00022
Proteiniphilum saccharofermentans	1642647	S	15544	820	16364	0.00041
Proteiniphilum propionicum	2829812	S	8925	1048	9973	0.00025
Limibacterium fermenti	3229863	S	18070	494	18564	0.00047
Dysgonomonas sp. HDW5A	2714926	S	4484	4192	8676	0.00022
Dysgonomonas sp. HDW5B	2714927	S	4310	3912	8222	0.00021
Indolivaga capnocytophagoides	45254	S	12242	702	12944	0.00033
Duncaniella dubosii	2518971	S	11997	652	12649	0.00032
Duncaniella sp. C9	2530392	S	40	9221	9261	0.00023
Duncaniella freteri	2530391	S	15	25	40	0.00000
Muribaculum gordoncarteri	2530390	S	10496	1062	11558	0.00029
Muribaculum intestinale	1796646	S	7849	243	8092	0.00020
Paramuribaculum intestinale	2094151	S	8696	287	8983	0.00023
Sodaliphilus pleomorphus	2606626	S	7952	293	8245	0.00021
Paludibacter propionicigenes	185300	S	11780	10	11790	0.00030
Salinivirga cyanobacteriivorans	1307839	S	3735	2	3737	0.00009
Tenuifilum thalassicum	2590900	S	2968	16	2984	0.00008
Candidatus Azobacteroides pseudotrichonymphae	511435	S	1810	0	1810	0.00005
uncultured Draconibacterium sp.	1573823	S	20205	1284	21489	0.00054
Draconibacterium orientale	1168034	S	8090	1430	9520	0.00024
Draconibacterium halophilum	2706887	S	5669	232	5901	0.00015
Gaoshiqia hydrogeniformans	3290090	S	11229	154	11383	0.00029
Mangrovibacterium marinum	1639118	S	9420	729	10149	0.00026
Aquipluma nitroreducens	2010828	S	7762	70	7832	0.00020
Maribellus comscasis	2681766	S	6151	151	6302	0.00016
Halosquirtibacter xylanolyticus	3374599	S	2900	326	3226	0.00008
Halosquirtibacter laminarini	3374600	S	1998	340	2338	0.00006
Labilibaculum euxinicum	2686357	S	3769	1217	4986	0.00013
Labilibaculum antarcticum	1717717	S	3578	174	3752	0.00009
Labilibaculum sp.	2060723	S	2837	1818	4655	0.00012
Marinifilum fragile	570161	S	7093	743	7836	0.00020
Marinifilum sp.	2033137	S	3891	307	4198	0.00011
Alkalitalea saponilacus	889453	S	4294	156	4450	0.00011
Xiashengella succiniciproducens	2949635	S	3876	1730	5606	0.00014
Flavobacterium sp. JP2137	3414510	S	2451	253	2704	0.00007
Flavobacterium sp.	239	S	2100	356	2456	0.00006
Flavobacterium sp. M31R6	2739062	S	1790	151	1941	0.00005
Flavobacterium sp. WV_118_3	3151764	S	1786	131	1917	0.00005
Flavobacterium sp. YJ01	3031997	S	1700	857	2557	0.00006
Flavobacterium sp. N1719	2885633	S	1678	51	1729	0.00004
Flavobacterium sp. GSB-24	2994319	S	1638	396	2034	0.00005
Flavobacterium sp. I3-2	2748319	S	1421	1539	2960	0.00007
Flavobacterium sp. 25HG05S-40	3458682	S	1343	59	1402	0.00004
Flavobacterium sp. SM2513	3424766	S	1278	54	1332	0.00003
Flavobacterium sp. 140616W15	2478552	S	1236	121	1357	0.00003
Flavobacterium sp. CLA17	2724135	S	1229	89	1318	0.00003
Flavobacterium sp. HNIBRBA15423	3458683	S	1176	66	1242	0.00003
Flavobacterium sp. N1994	2986827	S	1107	42	1149	0.00003
Flavobacterium sp. SLB02	2665645	S	1077	103	1180	0.00003
Flavobacterium sp. PS2	3384157	S	1072	100	1172	0.00003
Flavobacterium sp. N502536	2986837	S	1070	216	1286	0.00003
Flavobacterium sp. ZE23DGlu08	3059026	S	1037	129	1166	0.00003
Flavobacterium sp. N2820	2986834	S	1032	115	1147	0.00003
Flavobacterium sp. CECT 9288	2845819	S	1009	297	1306	0.00003
Flavobacterium sp. TMP13	3425950	S	994	64	1058	0.00003
Flavobacterium sp. CS20	2775246	S	991	408	1399	0.00004
Flavobacterium sp. TR2	2977321	S	985	268	1253	0.00003
Flavobacterium sp. KBS0721	1179672	S	970	125	1095	0.00003
Flavobacterium sp. Sr18	935222	S	969	83	1052	0.00003
Flavobacterium sp. MDT1-60	1979344	S	964	83	1047	0.00003
Flavobacterium sp. P21	3423948	S	796	115	911	0.00002
Flavobacterium sp. N3904	2986835	S	790	49	839	0.00002
Flavobacterium sp. K5-23	2746225	S	772	70	842	0.00002
Flavobacterium sp. N2038	2986829	S	737	100	837	0.00002
Flavobacterium sp. KACC 22763	3025668	S	718	431	1149	0.00003
Flavobacterium sp. W1B	3394146	S	703	70	773	0.00002
Flavobacterium sp. N2270	2986831	S	689	78	767	0.00002
Flavobacterium sp. N1736	2986823	S	687	71	758	0.00002
Flavobacterium sp. NG2	3097547	S	684	49	733	0.00002
Flavobacterium sp. N502540	2986838	S	661	352	1013	0.00003
Flavobacterium sp. KS-LB2	3120525	S	657	59	716	0.00002
Flavobacterium sp. IMCC34518	3003623	S	605	1565	2170	0.00005
Flavobacterium sp. PL002	1897058	S	601	64	665	0.00002
Flavobacterium sp. KACC 22761	3092665	S	584	108	692	0.00002
Flavobacterium sp. CFS9	3143118	S	565	155	720	0.00002
Flavobacterium sp. xlx-214	2654325	S	565	70	635	0.00002
Flavobacterium sp. 2	308053	S	461	68	529	0.00001
Flavobacterium sp. B183	907046	S	438	294	732	0.00002
Flavobacterium sp. KACC 22758	3025667	S	419	552	971	0.00002
Flavobacterium sp. CHNK8	2871165	S	300	84	384	0.00001
