name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. McL0615	3415673	S	62337	3753	66090	0.00309
Bradyrhizobium sp. Ash2021	2954771	S	39789	1993	41782	0.00196
Bradyrhizobium sp. 170	2782641	S	39567	6866	46433	0.00217
Bradyrhizobium sp. 200	2782665	S	37338	4754	42092	0.00197
Bradyrhizobium sp. CCBAU 051011	858422	S	25342	2013	27355	0.00128
Bradyrhizobium sp. sBnM-33	2831780	S	22360	1126	23486	0.00110
Bradyrhizobium sp. CB3481	3039158	S	19367	1597	20964	0.00098
Bradyrhizobium sp. BWA-3-5	3080013	S	19308	1410	20718	0.00097
Bradyrhizobium sp. NP1	3049772	S	17319	1046	18365	0.00086
Bradyrhizobium genosp. P	83641	S	13296	809	14105	0.00066
Bradyrhizobium sp. STM 3562	578924	S	12841	485	13326	0.00062
Bradyrhizobium sp. CCBAU 51753	1325100	S	12442	1211	13653	0.00064
Bradyrhizobium genosp. L	83637	S	11344	983	12327	0.00058
Bradyrhizobium sp. CB82	3039159	S	11259	927	12186	0.00057
Bradyrhizobium sp. STM 3557	578920	S	11145	533	11678	0.00055
Bradyrhizobium sp. McL0616	3415674	S	10297	720	11017	0.00052
Bradyrhizobium sp. 930_D9_N1_4	3240374	S	9488	1034	10522	0.00049
Bradyrhizobium sp. 186	2782654	S	9392	1587	10979	0.00051
Bradyrhizobium sp. CIAT3101	439387	S	8228	926	9154	0.00043
Bradyrhizobium sp. SK17	2057741	S	7895	3658	11553	0.00054
Bradyrhizobium sp. CB1650	3039153	S	7489	842	8331	0.00039
Bradyrhizobium sp. BTAi1	288000	S	7314	605	7919	0.00037
Bradyrhizobium sp. WD16	1521768	S	7267	615	7882	0.00037
Bradyrhizobium sp. ORS 278	114615	S	6895	665	7560	0.00035
Bradyrhizobium sp. ORS 285	115808	S	6644	582	7226	0.00034
Bradyrhizobium sp. 1(2017)	1404888	S	6505	891	7396	0.00035
Bradyrhizobium sp. CCBAU 53340	1325112	S	5952	1704	7656	0.00036
Bradyrhizobium sp. BLXBL-03	3395916	S	5702	546	6248	0.00029
Bradyrhizobium genosp. A	83626	S	5540	716	6256	0.00029
Bradyrhizobium sp. CCBAU 53421	1325120	S	5356	991	6347	0.00030
Bradyrhizobium sp. 6(2017)	1197460	S	4971	3684	8655	0.00041
Bradyrhizobium sp. ma5	3344828	S	4820	1540	6360	0.00030
Bradyrhizobium sp. 195	2782662	S	4795	945	5740	0.00027
Bradyrhizobium sp. ORS 111	1685958	S	4673	2579	7252	0.00034
Bradyrhizobium sp. ORS 86	1685970	S	4547	2575	7122	0.00033
Bradyrhizobium sp. NDS-1	3080014	S	4499	665	5164	0.00024
Bradyrhizobium sp. Pha-3	208375	S	4462	4475	8937	0.00042
Bradyrhizobium sp. CB1717	3039154	S	4119	1000	5119	0.00024
Bradyrhizobium sp. CCGE-LA001	1223566	S	3932	593	4525	0.00021
Bradyrhizobium sp. LMG 9283	592064	S	3794	572	4366	0.00020
Bradyrhizobium sp. Pa8	3386552	S	3633	1102	4735	0.00022
Bradyrhizobium sp. PUT101	3447427	S	3460	957	4417	0.00021
Bradyrhizobium sp. CB1015	2976822	S	3299	747	4046	0.00019
Bradyrhizobium sp. 41S5	1404443	S	3276	1498	4774	0.00022
Bradyrhizobium sp. B097	3140244	S	3120	1659	4779	0.00022
Bradyrhizobium sp. A5	3133696	S	3106	708	3814	0.00018
Bradyrhizobium sp. B120	3410088	S	3022	1735	4757	0.00022
Bradyrhizobium sp. B124	3140245	S	2982	1622	4604	0.00022
Bradyrhizobium sp. 191	2782659	S	2677	1787	4464	0.00021
Bradyrhizobium sp. CCBAU 51765	1325102	S	2645	1626	4271	0.00020
Bradyrhizobium sp. RDT46	3341829	S	2408	967	3375	0.00016
Bradyrhizobium sp. I71	2590772	S	2311	1672	3983	0.00019
Bradyrhizobium sp. RDM4	3378765	S	2078	3945	6023	0.00028
Bradyrhizobium sp. 62B	2898442	S	2076	1623	3699	0.00017
Bradyrhizobium sp.	376	S	1926	7265	9191	0.00043
Bradyrhizobium sp. CCBAU 53351	1325114	S	1910	2298	4208	0.00020
Bradyrhizobium sp. LLZ17	3239388	S	1825	3985	5810	0.00027
Bradyrhizobium sp. BEA-2-5	3080015	S	1818	1636	3454	0.00016
Bradyrhizobium sp. B117	3140246	S	1768	4020	5788	0.00027
Bradyrhizobium sp. CB2312	3039155	S	1758	4089	5847	0.00027
Bradyrhizobium sp. C-145	574727	S	1676	1871	3547	0.00017
Bradyrhizobium sp. 40	2782674	S	1630	3123	4753	0.00022
Bradyrhizobium sp. 2S1	1404429	S	1612	5472	7084	0.00033
Bradyrhizobium sp. WSM471	319017	S	1564	3292	4856	0.00023
Bradyrhizobium sp. PMVTL-01	3434999	S	1507	5397	6904	0.00032
Bradyrhizobium sp. 4	2782678	S	1485	3250	4735	0.00022
Bradyrhizobium sp. A11	3133974	S	1479	1273	2752	0.00013
Bradyrhizobium sp. 27S5	3139728	S	1309	6217	7526	0.00035
Bradyrhizobium sp. CCBAU 53338	1325111	S	1302	1222	2524	0.00012
Bradyrhizobium sp. 26S5	3139729	S	1254	5734	6988	0.00033
Bradyrhizobium sp. 192	2782660	S	1051	1337	2388	0.00011
Bradyrhizobium sp. 521_C7_N1_3	3240368	S	853	2026	2879	0.00013
Bradyrhizobium sp. NC92	55395	S	830	1615	2445	0.00011
Bradyrhizobium sp. BWC-3-1	3080012	S	822	1792	2614	0.00012
Bradyrhizobium sp. 956_D2_N1_4	3240375	S	814	4650	5464	0.00026
Bradyrhizobium sp. SMVTL-02	3395917	S	798	4079	4877	0.00023
Bradyrhizobium sp. 613_E4_N2_2	3240371	S	759	5895	6654	0.00031
Bradyrhizobium sp. LCT2	2493093	S	751	1203	1954	0.00009
Bradyrhizobium sp. 187	2782655	S	726	2630	3356	0.00016
Bradyrhizobium sp. YCK136	3351346	S	554	1676	2230	0.00010
Bradyrhizobium sp. SPXBL-02	3395912	S	494	2550	3044	0.00014
Bradyrhizobium sp. BLXBL-01	3395915	S	459	2311	2770	0.00013
Bradyrhizobium sp. STM 3561	578923	S	396	1124	1520	0.00007
Bradyrhizobium sp. 172	2782643	S	310	3267	3577	0.00017
Bradyrhizobium sp. STM 3566	578928	S	307	1023	1330	0.00006
Bradyrhizobium sp. WU425	187029	S	291	1137	1428	0.00007
Bradyrhizobium sp. TM102	2599819	S	269	985	1254	0.00006
Bradyrhizobium sp. SEMIA	2597515	S	255	961	1216	0.00006
Bradyrhizobium sp. CW1	2782686	S	219	3231	3450	0.00016
Bradyrhizobium sp. CCGUVB23	2949630	S	191	198	389	0.00002
Bradyrhizobium sp. B025	3344829	S	190	1735	1925	0.00009
Bradyrhizobium sp. vgs-9	208389	S	168	1421	1589	0.00007
Bradyrhizobium sp. 131	2782609	S	162	2581	2743	0.00013
Bradyrhizobium sp. CCGUVB1N3	2949629	S	154	315	469	0.00002
Bradyrhizobium sp. 155	2782629	S	150	2039	2189	0.00010
Bradyrhizobium sp. 63_E2_N1_3	3240373	S	112	3299	3411	0.00016
Bradyrhizobium sp. 1200_D9_N1_1	3239013	S	53	1369	1422	0.00007
Bradyrhizobium sp. CCBAU 21365	1325083	S	49	2071	2120	0.00010
Bradyrhizobium sp. 8-10B	3344579	S	49	1205	1254	0.00006
Bradyrhizobium sp. UASWS1016	1566379	S	38	26	64	0.00000
Bradyrhizobium sp. B024	3140247	S	33	1337	1370	0.00006
