name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Cellulosilyticum lentocellum	29360	S	3638	1506	5144	0.00013
Cellulosilyticum sp. ST5	3055805	S	424	1096	1520	0.00004
Cellulosilyticum sp. WCF-2	2497860	S	303	840	1143	0.00003
Defluviitalea saccharophila	879970	S	4417	609	5026	0.00012
Flavonifractor plautii	292800	S	205915	20228	226143	0.00558
Ruminococcus gauvreauii	438033	S	130706	9421	140127	0.00346
Ruminococcus sp. SR1/5	657323	S	11990	35554	47544	0.00117
Ruminococcus sp. JE7B6	3233380	S	8977	2336	11313	0.00028
Ruminococcus sp. JL13D9	3233381	S	6734	2783	9517	0.00023
Ruminococcus champanellensis	1161942	S	12192	580	12772	0.00031
Ruminococcus callidus	40519	S	9698	360	10058	0.00025
Ruminococcus albus	1264	S	4897	24	4921	0.00012
Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	S	3827	318	4145	0.00010
Ruminococcus bovis	2564099	S	2118	133	2251	0.00006
Faecalibacterium prausnitzii	853	S	50792	37437	88229	0.00218
Faecalibacterium sp. I3-3-89	2929493	S	6534	2905	9439	0.00023
Faecalibacterium sp. I4-1-79	2929494	S	2368	1578	3946	0.00010
Faecalibacterium sp. I4-3-84	2929495	S	2130	3689	5819	0.00014
Faecalibacterium sp. I3-3-33	2929492	S	2046	902	2948	0.00007
Faecalibacterium sp. 7	3402017	S	1106	1651	2757	0.00007
Faecalibacterium sp. I2-3-92	2929490	S	1012	2043	3055	0.00008
Faecalibacterium sp. i21-0019-B1	3141184	S	972	3121	4093	0.00010
Faecalibacterium sp. IP-3-29	2929489	S	759	1447	2206	0.00005
Faecalibacterium sp. IP-1-18	2929488	S	350	2320	2670	0.00007
Faecalibacterium sp. i25-0019-C1	3141185	S	262	1170	1432	0.00004
Faecalibacterium duncaniae	411483	S	3713	7776	11489	0.00028
Faecalibacterium wellingii	2929491	S	1792	1744	3536	0.00009
Faecalibacterium taiwanense	3030638	S	1665	5719	7384	0.00018
Faecalibacterium hominis (ex Afrizal et al. 2022)	2881265	S	718	1362	2080	0.00005
Pseudoflavonifractor gallinarum	2779352	S	78724	8962	87686	0.00216
Oscillibacter hominis	2763056	S	52204	8980	61184	0.00151
Oscillibacter sp. PEA192	2109687	S	5410	41062	46472	0.00115
Lawsonibacter asaccharolyticus	2108523	S	56067	5580	61647	0.00152
Vescimonas coprocola	2714355	S	22292	7931	30223	0.00075
Vescimonas fastidiosa	2714353	S	22023	8573	30596	0.00075
uncultured Subdoligranulum sp.	512298	S	18095	6200	24295	0.00060
